电影名称,电影类型,出品国家,上映年份,上映月份,上映日期,电影时长,电影评分,打分人数,想看人数,累计票房,首日票房,首周票房
长津湖,"剧情,历史,战争",中国大陆,2021,9,30,176,9.5,2280000,1009000,577500,20500,152700
战狼2,"动作,战争",中国大陆,2017,7,27,123,9.7,4940000,413000,569400,10200,99600
你好，李焕英,喜剧,中国大陆,2021,2,12,128,9.5,3990000,1162000,541300,29100,104900
哪吒之魔童降世,动画,中国大陆,2019,7,26,110,9.6,4050000,172000,503500,14400,66500
流浪地球,"科幻,冒险,灾难",中国大陆,2019,2,5,125,9.2,2670000,252000,468700,19000,203100
满江红,"悬疑,喜剧,剧情",中国大陆,2023,1,22,159,9.4,1370000,1099000,454400,40500,40500
唐人街探案3,"喜剧,悬疑",中国大陆,2021,2,12,136,8.8,2360000,4469000,452299,101100,257900
复仇者联盟4：终局之战,"动作,科幻,奇幻,冒险",美国,2019,4,24,181,9.1,1980000,1850000,425000,53700,223200
长津湖之水门桥,"剧情,历史,战争",中国大陆,2022,2,1,149,9.6,1120000,1146000,406700,64100,253299
流浪地球2,"科幻,冒险,灾难",中国大陆,2023,1,22,173,9.3,970000,1215000,402900,47900,47900
孤注一掷,"犯罪,剧情",中国大陆,2023,8,8,130,9.1,630000,1140000,384799,18500,136900
红海行动,"剧情,动作",中国大陆,2018,2,16,138,9.4,2700000,165000,365200,12900,46500
消失的她,"悬疑,犯罪,剧情",中国大陆,2023,6,22,122,9.2,910000,323000,352299,15900,69800
唐人街探案2,"喜剧,动作,悬疑",中国大陆,2018,2,16,120,9,2510000,463000,339700,34000,99000
美人鱼,"喜剧,爱情,科幻",中国大陆,2016,2,8,93,9,3130000,614000,339099,27100,181900
我和我的祖国,剧情,中国大陆,2019,9,30,155,9.7,1460000,581000,317000,29000,208600
八佰,"剧情,战争,历史",中国大陆,2020,8,21,147,9.2,1830000,519000,311000,14100,63900
独行月球,"喜剧,科幻",中国大陆,2022,7,29,122,9.2,830000,822000,310300,23900,97500
我不是药神,"剧情,喜剧",中国大陆,2018,7,5,117,9.6,2750000,165000,310000,15900,123800
中国机长,"剧情,传记,灾难",中国大陆,2019,9,30,111,9.4,1930000,564000,291300,20900,176600
我和我的家乡,"剧情,喜剧",中国大陆,2020,10,1,153,9.1,1340000,445000,282900,27500,108000
速度与激情8,"动作,惊悚,犯罪",美国,2017,4,14,136,9.3,1870000,321000,267000,41700,135200
封神第一部,"神话,动作,史诗",中国大陆,2023,7,20,148,9.4,810000,397000,263400,4913,35700
这个杀手不太冷静,喜剧,中国大陆,2022,2,1,109,9.1,650000,556000,262700,21400,139000
西虹市首富,喜剧,中国大陆,2018,7,27,118,9.2,1750000,340000,254700,22700,90300
捉妖记,"喜剧,奇幻,古装",中国大陆,2015,7,16,117,9.1,2250000,205000,243600,16200,66800
速度与激情7,"动作,惊悚,犯罪",美国,2015,4,12,138,9.6,2120000,252000,242300,34500,39800
复仇者联盟3：无限战争,"动作,科幻,奇幻,冒险",美国,2018,5,11,149,9,1800000,1146000,239000,38700,127200
捉妖记2,"喜剧,奇幻",中国大陆,2018,2,16,110,8.2,1750000,669000,223700,54600,120399
羞羞的铁拳,"喜剧,奇幻",中国大陆,2017,9,30,100,9.1,1800000,284000,221300,13200,31000
疯狂的外星人,"剧情,喜剧,科幻",中国大陆,2019,2,5,116,8.5,1130000,460000,221300,41000,146100
八角笼中,剧情,中国大陆,2023,7,6,117,9.5,570000,452000,220700,6455,49800
海王,"动作,奇幻,冒险","美国,澳大利亚",2018,12,7,143,9.3,1280000,251000,201300,15600,65199
变形金刚4：绝迹重生,"动作,科幻,冒险","美国,中国大陆",2014,6,27,165,9.2,460000,114000,197600,17400,63099
前任3：再见前任,"喜剧,爱情",中国大陆,2017,12,29,119,9.1,1570000,250000,194100,6449,28300
毒液：致命守护者,"动作,惊悚,科幻",美国,2018,11,9,107,9.2,1320000,394000,187000,22300,76600
长安三万里,动画,中国大陆,2023,7,8,168,9.4,330000,336000,182399,8850,17900
功夫瑜伽,"动作,冒险,奇幻","中国大陆,印度",2017,1,28,108,8.4,1000000,90000,174800,13799,27100
